Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3952382657,Matthew.walsh5,0,180.64,DST Lions  FLEX D'Andre Swift QB Patrick Mahomes RB David Montgomery RB De'Von Achane TE Tyler Higbee WR Ja'Marr Chase WR Josh Downs WR Rashee Rice,,David Montgomery,RB,54.55%,23.9
2,3953377973,sokirkab,0,179.12,DST Chiefs  FLEX Rashid Shaheed QB Jalen Hurts RB Alvin Kamara RB De'Von Achane TE Zach Ertz WR A.J. Brown WR Ja'Marr Chase WR Wan'Dale Robinson,,Patrick Mahomes,QB,45.45%,19.24
3,3946682873,jcameronmetz,0,165.34,DST Steelers  FLEX Marquise Brown QB Patrick Mahomes RB David Montgomery RB D'Andre Swift TE Travis Kelce WR DeAndre Hopkins WR Josh Reynolds WR Robert Woods,,Bijan Robinson,RB,45.45%,12.8
4,3947790460,Iceman_1733,0,143.54,DST Titans  FLEX David Montgomery QB Patrick Mahomes RB Bijan Robinson RB Breece Hall TE Travis Kelce WR Zay Flowers WR Rashee Rice WR Wan'Dale Robinson,,Travis Kelce,TE,45.45%,22.7
5,3953219316,802the805,0,142.64,DST Steelers  FLEX Travis Kelce QB Patrick Mahomes RB Bijan Robinson RB De'Von Achane TE Chig Okonkwo WR A.J. Brown WR Kalif Raymond WR Wan'Dale Robinson,,D'Andre Swift,RB,36.36%,16.8
6,3952246774,dalla2746,0,135.04,DST Jets  FLEX Justin Jefferson QB Joshua Dobbs RB David Montgomery RB Breece Hall TE Zach Ertz WR Chris Olave WR Marquise Brown WR Tyler Boyd,,Marquise Brown,WR,36.36%,16.1
7,3952262189,abc010,0,132.18,DST Saints  FLEX D'Andre Swift QB Matthew Stafford RB Bijan Robinson RB David Montgomery TE Zach Ertz WR Justin Jefferson WR Marquise Brown WR Wan'Dale Robinson,,Wan'Dale Robinson,WR,36.36%,6.9
8,3945729082,molly_camp,0,120.96,DST Dolphins  FLEX Mack Hollins QB Zach Wilson RB Derrick Henry RB Alvin Kamara TE Travis Kelce WR Garrett Wilson WR Nico Collins WR George Pickens,,Alvin Kamara,RB,27.27%,18.7
9,3950380475,frankmkerr23,0,108.64,DST Titans  FLEX Tank Dell QB Joshua Dobbs RB Alvin Kamara RB D'Andre Swift TE Travis Kelce WR Justin Jefferson WR Marquise Brown WR Kalif Raymond,,De'Von Achane,RB,27.27%,25.5
10,3953581250,cciaburri,0,79.44,DST Chiefs  FLEX Derrick Henry QB Patrick Mahomes RB Bijan Robinson RB Matt Breida TE Tyler Higbee WR Garrett Wilson WR Skyy Moore WR Rashee Rice,,Justin Jefferson,WR,27.27%,5.8
11,3952159931,sarahskerr,0,58.92,DST Titans  FLEX Bijan Robinson QB Anthony Richardson RB David Montgomery RB Melvin Gordon III TE Hunter Henry WR DeVonta Smith WR Tutu Atwell WR Kendrick Bourne,,Rashee Rice,WR,27.27%,13.3
,,,,,,,Zach Ertz,TE,27.27%,9
,,,,,,,Titans,DST,27.27%,1
,,,,,,,Joshua Dobbs,QB,18.18%,11.74
,,,,,,,Derrick Henry,RB,18.18%,9.2
,,,,,,,Breece Hall,RB,18.18%,31.4
,,,,,,,A.J. Brown,WR,18.18%,21.7
,,,,,,,Ja'Marr Chase,WR,18.18%,55.2
,,,,,,,Garrett Wilson,WR,18.18%,8.4
,,,,,,,Kalif Raymond,WR,18.18%,7.5
,,,,,,,Tyler Higbee,TE,18.18%,4
,,,,,,,Chiefs,DST,18.18%,6
,,,,,,,Steelers,DST,18.18%,18
,,,,,,,Jalen Hurts,QB,9.09%,31.32
,,,,,,,Anthony Richardson,QB,9.09%,4.42
,,,,,,,Matthew Stafford,QB,9.09%,16.88
,,,,,,,Zach Wilson,QB,9.09%,9.56
,,,,,,,Matt Breida,RB,9.09%,3.4
,,,,,,,Melvin Gordon III,RB,9.09%,0
,,,,,,,DeVonta Smith,WR,9.09%,1.6
,,,,,,,Chris Olave,WR,9.09%,9.2
,,,,,,,DeAndre Hopkins,WR,9.09%,25
,,,,,,,Nico Collins,WR,9.09%,6.9
,,,,,,,Zay Flowers,WR,9.09%,12.3
,,,,,,,Tutu Atwell,WR,9.09%,8.9
,,,,,,,George Pickens,WR,9.09%,29.6
,,,,,,,Tank Dell,FLEX,9.09%,8.3
,,,,,,,Kendrick Bourne,WR,9.09%,6.3
,,,,,,,Tyler Boyd,WR,9.09%,9.9
,,,,,,,Skyy Moore,WR,9.09%,3.1
,,,,,,,Josh Reynolds,WR,9.09%,17.6
,,,,,,,Robert Woods,WR,9.09%,6
,,,,,,,Rashid Shaheed,FLEX,9.09%,4.8
,,,,,,,Josh Downs,WR,9.09%,15.7
,,,,,,,Mack Hollins,FLEX,9.09%,4.9
,,,,,,,Hunter Henry,TE,9.09%,0
,,,,,,,Chig Okonkwo,TE,9.09%,8.3
,,,,,,,Lions,DST,9.09%,7
,,,,,,,Dolphins,DST,9.09%,11
,,,,,,,Jets,DST,9.09%,18
,,,,,,,Saints,DST,9.09%,24
