Rank,EntryId,EntryName,TimeRemaining,Points,,,,,
1,,802the805,0,126.1,,,,,
2,,dalla2746,0,116.6,,,,,
3,,cciaburri,0,115.72,,,,,
4,,sarahskerr,0,110.16,,,,,
5,,jcameronmetz,0,106,,,,,
6,,abc010,0,105.38,,,,,
7,,stumpjump802,0,103.36,,,,,
8,,frankmkerr23,0,102.1,,,,,
9,,QTURNER17,0,101.68,,,,,
10,,Matthew.walsh5,0,93.24,,,,,
11,,sokirkab,0,89.58,,,,,
12,,Iceman_1733,0,85.96,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
