Rank,EntryId,EntryName,TimeRemaining,Points,,,,,
1,4058238071,Matthew.walsh5,0,180.96,,,,,
2,4061731790,jcameronmetz,0,156.56,,,,,
3,4058218658,sokirkab,0,146.74,,,,,
4,4062990679,Iceman_1733,0,137.16,,,,,
5,4061865607,molly_camp,0,131.76,,,,,
6,4063340038,dank620,0,122.66,,,,,
7,4055586524,802the805,0,121.92,,,,,
8,4063067238,abc010,0,119.46,,,,,
9,4062925037,dalla2746,0,113.3,,,,,
10,,frankmkerr23,0,104.6,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
