Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4121478603,sokirkab,0,175.73999,DST Bengals  FLEX Tyler Lockett QB Nick Mullens RB Aaron Jones RB Pierre Strong Jr. TE Kyle Pitts WR CeeDee Lamb WR Justin Jefferson WR Darius Slayton,,Pierre Strong Jr.,RB,66.67%,6.5
2,4122346858,jcameronmetz,0,165.84,DST Giants  FLEX CeeDee Lamb QB Nick Mullens RB Zamir White RB Pierre Strong Jr. TE Noah Gray WR Justin Jefferson WR DJ Moore WR Jordan Addison,,Zamir White,FLEX,55.56%,16.1
3,4123278454,dank620,0,159.36,DST Panthers  FLEX James Conner QB Geno Smith RB Zamir White RB Pierre Strong Jr. TE Jake Ferguson WR CeeDee Lamb WR DJ Moore WR Darius Slayton,,CeeDee Lamb,WR,55.56%,35.5
4,4121147012,abc010,0,156.36,DST Packers  FLEX Zamir White QB Dak Prescott RB James Conner RB Pierre Strong Jr. TE Jake Ferguson WR CeeDee Lamb WR DeMario Douglas WR Wan'Dale Robinson,,DJ Moore,WR,55.56%,10.4
5,4122129522,Matthew.walsh5,0,126.28,DST Buccaneers  FLEX Pierre Strong Jr. QB Kyler Murray RB Aaron Jones RB Jordan Mason TE Trey McBride WR Justin Jefferson WR DK Metcalf WR Justyn Ross,,James Conner,RB,44.44%,33.4
6,4122669491,802the805,0,124.22001,DST Chargers  FLEX Tutu Atwell QB Justin Fields RB James Conner RB Zamir White TE Dallas Goedert WR CeeDee Lamb WR DJ Moore WR Ronnie Bell,,Justin Jefferson,WR,33.33%,39
7,4123516506,frankmkerr23,0,110.76,DST Bengals  FLEX Drake London QB Geno Smith RB James Conner RB Zamir White TE Juwan Johnson WR DK Metcalf WR DJ Moore WR Garrett Wilson,,Bengals ,DST,33.33%,8
8,4122412542,dalla2746,0,93.46,DST Bengals  FLEX DeAndre Hopkins QB Geno Smith RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR DK Metcalf WR Jayden Reed WR Demarcus Robinson,,DK Metcalf,WR,33.33%,2
9,4122580231,Iceman_1733,0,65.520004,DST Rams  FLEX Rachaad White QB Justin Fields RB Kenneth Walker III RB Pierre Strong Jr. TE Noah Gray WR A.J. Brown WR DJ Moore WR Zay Jones,,Geno Smith,QB,33.33%,20.36
,,,,,,,Jake Ferguson,TE,22.22%,12.9
,,,,,,,Nick Mullens,QB,22.22%,25.64
,,,,,,,Aaron Jones,RB,22.22%,22.1
,,,,,,,Darius Slayton,WR,22.22%,17.2
,,,,,,,Jordan Mason,RB,22.22%,5.8
,,,,,,,Trey McBride,TE,22.22%,12.4
,,,,,,,Noah Gray,TE,22.22%,0
,,,,,,,Kenneth Walker III,RB,22.22%,9.1
,,,,,,,Justin Fields,QB,22.22%,8.62
,,,,,,,Dak Prescott,QB,11.11%,26.16
,,,,,,,DeMario Douglas,WR,11.11%,3.3
,,,,,,,Wan'Dale Robinson,WR,11.11%,13.5
,,,,,,,Packers ,DST,11.11%,9
,,,,,,,Tyler Lockett,FLEX,11.11%,17.1
,,,,,,,Kyle Pitts,TE,11.11%,4.7
,,,,,,,Kyler Murray,QB,11.11%,17.78
,,,,,,,Justyn Ross,WR,11.11%,3.7
,,,,,,,Buccaneers ,DST,11.11%,17
,,,,,,,Jordan Addison,WR,11.11%,15.7
,,,,,,,Giants ,DST,11.11%,17
,,,,,,,DeAndre Hopkins,FLEX,11.11%,17.6
,,,,,,,Jayden Reed,WR,11.11%,18.2
,,,,,,,Demarcus Robinson,WR,11.11%,0
,,,,,,,Rachaad White,FLEX,11.11%,13.3
,,,,,,,A.J. Brown,WR,11.11%,0.9
,,,,,,,Zay Jones,WR,11.11%,10.7
,,,,,,,Rams ,DST,11.11%,6
,,,,,,,Tutu Atwell,FLEX,11.11%,4.3
,,,,,,,Ronnie Bell,WR,11.11%,7.5
,,,,,,,Dallas Goedert,TE,11.11%,1.4
,,,,,,,Chargers ,DST,11.11%,7
,,,,,,,Panthers ,DST,11.11%,7
,,,,,,,Garrett Wilson,WR,11.11%,5.4
,,,,,,,Drake London,FLEX,11.11%,8.1
,,,,,,,Juwan Johnson,TE,11.11%,7
