Rank,EntryName,TimeRemaining,Points,,,,,
1,Iceman_1733,0,166.42,,,,,
2,Matthew.walsh5,0,156.06,,,,,
3,dalla2746,0,132.72,,,,,
4,QTURNER17,0,128.56,,,,,
5,abc010,0,121.6,,,,,
6,sokirkab,0,118,,,,,
7,cciaburri,0,92.82,,,,,
8,stumpjump802,0,90.5,,,,,
9,jcameronmetz,0,90.4,,,,,
10,802the805,0,88.34,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
